"Variable","Definition","Values","Protocol"
"id","Unique Id for the record",,
"parent_id","ID of the parent table (eplot_subplot)",,
"country","Country",,
"landscape_no","Landscape Number",,
"eplot_no","Eplot Number",,
"round","The round of data collection",,
"subplot","Subplot Number",,
"tree_code",,,
"field_date","Date",,"E-Plot Biomass Measurements"
"latitude","Latitude of the southeast corner of the Eplot",,
"longitude","Longitude of the southeast corner of the Eplot",,
"genus","Genus - Herbaceous layer (Herbaceous mass and Dry-Weight-Rank Method); Tree Code",,"E-Plot Biomass Measurements"
