tab
householdcontact
piigeo_agric
piigeo_agric_field
piigeo_farmsoils
piigeo_farmsoilslab
piigeo_household
piigeo_processedsoils_farm
piigeo_yields
piigeo_yields_field
piigeo_yieldslab
piiname_agric
piiname_agric_field_season_individual
piiname_agric_individual
piiname_household
piiname_household_individual
piiname_yields
ref_household
sp__hh
sp__yields
sp__fields
