district,district_name,country,region,region_name
421,Kiryandongo ,UGA,04,Western Region
408,Kisoro ,UGA,04,Western Region
305,Kitgum,UGA,03,Northern Region
319,Koboko,UGA,03,Northern Region
325,Kole,UGA,03,Northern Region
306,Kotido,UGA,03,Northern Region
208,Kumi,UGA,02,Eastern Region
228,Kween,UGA,02,Eastern Region
123,Kyankwanzi ,UGA,01,Central Region
422,Kyegegwa ,UGA,04,Western Region
415,Kyenjojo ,UGA,04,Western Region
326,Lamwo,UGA,03,Northern Region
307,Lira,UGA,03,Northern Region
229,Luuka,UGA,02,Eastern Region
104,Luwero ,UGA,01,Central Region
124,Lwengo ,UGA,01,Central Region
114,Lyantonde ,UGA,01,Central Region
223,Manafwa,UGA,02,Eastern Region
320,Maracha,UGA,03,Northern Region
105,Masaka ,UGA,01,Central Region
409,Masindi ,UGA,04,Western Region
214,Mayuge,UGA,02,Eastern Region
209,Mbale,UGA,02,Eastern Region
410,Mbarara ,UGA,04,Western Region
423,Mitooma ,UGA,04,Western Region
115,Mityana ,UGA,01,Central Region
308,Moroto,UGA,03,Northern Region
309,Moyo,UGA,03,Northern Region
106,Mpigi ,UGA,01,Central Region
107,Mubende ,UGA,01,Central Region
108,Mukono ,UGA,01,Central Region
311,Nakapiripirit,UGA,03,Northern Region
116,Nakaseke ,UGA,01,Central Region
109,Nakasongola ,UGA,01,Central Region
230,Namayingo,UGA,02,Eastern Region
224,Namutumba,UGA,02,Eastern Region
327,Napak,UGA,03,Northern Region
310,Nebbi,UGA,03,Northern Region
231,Ngora,UGA,02,Eastern Region
424,Ntoroko ,UGA,04,Western Region
411,Ntungamo ,UGA,04,Western Region
328,Nwoya,UGA,03,Northern Region
329,Otuke,UGA,03,Northern Region
321,Oyam,UGA,03,Northern Region
312,Pader,UGA,03,Northern Region
210,Pallisa,UGA,02,Eastern Region
110,Rakai ,UGA,01,Central Region
425,Rubirizi ,UGA,04,Western Region
412,Rukungiri ,UGA,04,Western Region
111,Sembabule ,UGA,01,Central Region
232,Serere,UGA,02,Eastern Region
426,Sheema ,UGA,04,Western Region
215,Sironko,UGA,02,Eastern Region
211,Soroti,UGA,02,Eastern Region
212,Tororo,UGA,02,Eastern Region
113,Wakiso ,UGA,01,Central Region
313,Yumbe,UGA,03,Northern Region
330,Zombo,UGA,03,Northern Region
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
